CarCount,BikeCount,BusCount,TruckCount,Weighted_Traffic_Index,Clearance_Time_min,Clearance_Distance_km,Estimated_Flow_Speed_kmph,EV_Distance_From_Signal_km,Cycle_Position_sec,Current_Signal_State,Queue_Length_m,CarCount_noisy,BikeCount_noisy,BusCount_noisy,TruckCount_noisy,Weighted_Traffic_Index_noisy,Estimated_Flow_Speed_kmph_noisy,Driver_Reaction_Delay_s,Avg_Vehicle_Length_m,Vehicles_In_Queue_est,Saturation_Flow_veh_per_s,Bottleneck_Factor,Truck_Penalty_s,Clearance_Time_model_s_no_noise,Clearance_Time_model_s,Clearance_Time_model_min,Clearance_Distance_model_km,Clearance_Distance_km_final,Clearance_Time_min_final
144,16,49,0,225.5,15.03,10.02,6.175,1.326975169,42,Red,270.6,130,17,43,0,248.65,5.38,0.883,5.729473684,40,0.2219,0.65,0,278.2081985,278.696,4.645,3.344,3.6778,5.46
111,28,20,3,161,10.73,7.16,15.85,4.805861907,153,Green,193.2,104,28,23,3,176.6,16.03,1.36,5.110126582,32,0.7287,0.85,0.01125,53.03456662,55.337,0.922,0.6494,1.626,2.402
67,11,10,16,119.5,7.97,5.31,22.075,1.119029766,39,Red,143.4,67,11,11,18,109.85,19.82,0.755,6.152336449,20,0.7699,1,0.108,26.84039966,30.139,0.502,0.3484,2.333,3.465
65,24,7,16,119.5,7.97,5.31,22.075,1.325605725,128,Green,143.4,64,21,8,17,105.1,18.81,1.857,5.616363636,22,0.7899,1,0.092727273,29.80135406,31.657,0.528,0.3609,2.3405,3.387
94,27,7,16,150,10,6.67,17.5,4.266350561,51,Red,180,88,30,6,18,171.57,17.1,0.897,5.154929577,29,0.7716,0.85,0.074482759,45.18823633,39.026,0.65,0.4282,1.3645,1.961
94,20,8,7,130,8.67,5.78,20.5,3.775116959,152,Green,156,97,18,9,6,122.04,18.27,1.059,4.922307692,26,0.8569,1,0.027692308,31.42862252,34.621,0.577,0.3989,1.2061,1.811
67,29,5,10,109,7.27,4.84,23.65,3.017573653,96,Red,130.8,60,27,6,10,121.13,21.24,0.455,4.899029126,22,1.0002,1,0.054545455,22.50514633,25.809,0.43,0.2971,0.9785,1.543
56,12,2,14,93,6.2,4.13,26.05,2.559921709,11,Red,111.6,53,11,2,13,79.17,22.74,1.115,5.52278481,17,0.9686,1,0.091764706,18.75786939,18.603,0.31,0.211,1.7786,2.633
57,13,3,11,90,6,4,26.5,4.679710353,114,Red,108,55,14,3,12,77.07,24.16,0.3,5.353571429,17,1.0561,1,0.084705882,16.4816664,18.804,0.313,0.2188,1.7313,2.455
129,22,42,1,205,13.67,9.11,9.25,2.95376063,106,Red,246,127,23,36,1,202.9,9.85,1.277,5.459358289,38,0.4235,0.85,0.003157895,106.8430442,108.36,1.806,1.1941,1.5899,2.444
144,16,49,0,225.5,15.03,10.02,6.175,0.79521821,75,Red,270.6,156,17,44,0,207.82,6.75,1.29,5.606451613,41,0.2837,0.85,0,171.3121858,169.237,2.821,1.7665,2.1792,3.187
111,28,20,3,161,10.73,7.16,15.85,1.565833982,107,Red,193.2,101,26,20,3,170.17,15.62,1.544,5.048666667,32,0.7175,0.85,0.01125,54.0250184,51.293,0.855,0.5753,1.563,2.273
120,27,46,3,208.5,13.9,9.27,8.725,4.918389223,64,Red,250.2,121,28,47,3,212.6,8.74,0.592,5.768341709,37,0.3588,0.85,0.00972973,121.9211605,127.684,2.128,1.3654,1.7606,2.585
102,39,47,1,194,12.93,8.62,10.9,3.701271828,131,Green,232.8,105,40,49,1,169.41,9.37,1.064,5.617948718,35,0.3934,0.85,0.003428571,105.7356304,97.165,1.619,1.0596,2.1937,3.379
145,23,27,0,197,13.13,8.76,10.45,1.02394233,78,Red,236.4,125,25,23,0,177.06,9.1,1.226,4.973988439,40,0.4231,0.85,0,112.4498798,99.122,1.652,1.0163,2.1779,3.392
114,37,21,5,174,11.6,7.73,13.9,3.346391254,139,Green,208.8,118,42,24,5,168.16,12.89,1.177,4.923809524,35,0.6044,0.85,0.017142857,69.32198963,59.49,0.992,0.6486,1.7108,2.593
108,18,22,1,152,10.13,6.76,17.2,3.818993898,115,Red,182.4,97,15,19,1,137.66,17.43,0.654,5.185606061,29,0.7826,1,0.004137931,37.71410522,35.365,0.589,0.4124,1.3645,2.003
122,28,33,1,187.5,12.5,8.33,11.875,1.838805649,90,Red,225,106,29,29,1,203.94,12.73,0.3,5.213333333,36,0.569,0.85,0.003333333,74.73732486,72.4,1.207,0.8099,1.1859,1.738
114,39,30,3,184.5,12.3,8.2,12.325,0.746018899,143,Green,221.4,129,34,26,3,179.85,12.71,1.139,5.019270833,37,0.5867,0.85,0.00972973,75.34237514,76.519,1.275,0.7835,1.896,2.716
150,36,25,1,207.5,13.83,9.22,8.875,2.351994528,106,Red,249,171,37,26,1,182.19,8.59,0.939,4.825957447,43,0.4095,0.85,0.002790698,124.4783848,116.739,1.946,1.2908,2.4802,3.914
107,10,49,2,189.5,12.63,8.42,11.575,3.564153754,46,Red,227.4,117,9,55,2,188.61,10.25,0.773,6.40273224,31,0.3846,0.85,0.007741935,95.60806444,109.492,1.825,1.176,2.2626,3.45
124,24,22,0,169,11.27,7.51,14.65,0.770349998,14,Red,202.8,117,23,23,0,148.26,15.88,1.306,5.036196319,34,0.731,1,0,47.81762791,44.83,0.747,0.4963,1.5484,2.191
77,16,39,29,201.5,13.43,8.96,9.775,0.134869647,66,Red,241.8,68,15,43,30,179.07,9.38,0.982,7.474358974,29,0.3073,0.85,0.124137931,112.1300464,110.145,1.836,1.2052,2.3684,3.622
15,23,30,21,113.5,7.57,5.04,22.975,4.394883386,31,Red,136.2,16,24,26,22,104.63,24.6,0.472,7.559090909,16,0.7984,1,0.165,20.67708016,18.216,0.304,0.2164,2.1458,3.198
32,22,38,21,142,9.47,6.31,18.7,0.960963321,25,Red,170.4,31,21,38,22,157.32,18.77,0.3,7.672321429,20,0.6013,0.85,0.132,39.56290265,36.722,0.612,0.3781,1.2679,2.01
68,13,29,24,166,11.07,7.38,15.1,1.09620424,60,Red,199.2,60,14,29,25,187.15,16.18,0.548,7.1421875,24,0.552,0.85,0.125,51.82389514,44.802,0.747,0.5124,1.5425,2.402
27,16,36,30,149,9.93,6.62,17.65,2.386289145,154,Green,178.8,27,16,36,26,163.58,19.81,1.957,8.174285714,19,0.5997,0.85,0.164210526,39.39474926,40.098,0.668,0.4706,1.393,2.007
76,7,11,15,126,8.4,5.6,21.1,2.736552627,97,Red,151.2,65,6,10,13,119.73,23.77,1.289,6.056382979,21,0.9355,1,0.074285714,23.81117454,25.605,0.427,0.3054,2.4232,3.731
41,23,20,17,116.5,7.77,5.18,22.525,4.74985717,47,Red,139.8,46,25,21,17,108.55,22.76,1.075,6.302752294,19,0.8658,1,0.107368421,23.12739037,21.016,0.35,0.2215,2.2049,3.302
33,10,3,29,100.5,6.7,4.47,24.925,4.683803221,114,Red,120.6,31,9,3,27,101.98,25.01,0.927,7.324285714,14,0.8346,1,0.231428571,17.93293133,17.222,0.287,0.1923,1.9034,2.748
58,8,14,29,141,9.4,6.27,18.85,2.331733112,125,Green,169.2,61,8,15,25,150.38,17.52,0.901,6.916513761,21,0.6149,0.85,0.142857143,41.22255669,35.245,0.587,0.363,1.249,1.918
65,7,11,26,137,9.13,6.09,19.45,1.061037755,103,Red,164.4,61,7,11,25,157.28,21.99,1.467,6.808653846,21,0.7824,0.85,0.142857143,33.18690514,36.567,0.609,0.4062,1.2588,1.899
47,9,6,29,118.5,7.9,5.27,22.225,2.765807556,76,Red,142.2,47,9,5,29,105.4,21.94,0.804,7.007777778,18,0.7612,1,0.193333333,24.64420669,26.714,0.445,0.279,2.2754,3.221
38,10,5,25,100.5,6.7,4.47,24.925,3.868624131,33,Red,120.6,39,9,5,24,86.91,22.14,1.231,6.944155844,15,0.7742,1,0.192,20.79783854,18.073,0.301,0.2117,1.915,2.923
57,8,12,29,137,9.13,6.09,19.45,1.517727026,32,Red,164.4,52,8,11,31,144.99,19.06,0.861,7.268627451,20,0.6402,1,0.186,32.28723743,30.978,0.516,0.3229,1.188,1.811
20,6,4,20,69,4.6,3.07,29.65,1.528595116,144,Green,82.8,23,7,4,21,75.88,26.33,1.776,7.492727273,10,0.8613,1,0.252,13.63835644,15.501,0.258,0.1726,1.3316,1.912
24,9,14,23,95.5,6.37,4.24,25.675,3.241130954,161,Green,114.6,26,9,14,22,105.42,25.69,1.297,7.763380282,13,0.8145,1,0.203076923,17.46078902,16.895,0.282,0.1884,1.809,2.664
52,10,13,21,118.5,7.9,5.27,22.225,1.410877186,133,Green,142.2,59,11,12,23,124.84,22.63,1.498,6.602857143,19,0.8269,1,0.145263158,24.62064857,24.814,0.414,0.2965,1.0425,1.58
79,15,36,18,176.5,11.77,7.84,13.525,4.409148204,162,Orange,211.8,88,16,41,19,200.54,12.87,0.766,6.730487805,27,0.4623,0.85,0.084444444,69.5606021,66.54,1.109,0.7577,1.1118,1.595
84,24,22,18,165,11,7.33,15.25,1.367397294,8,Red,198,86,22,22,19,165.54,13.29,1.423,6.017449664,28,0.5261,0.85,0.081428571,64.11833557,65.967,1.099,0.7081,1.7014,2.66
59,19,35,16,153,10.2,6.8,17.05,1.081102532,48,Red,183.6,66,19,31,16,171.99,19.32,0.875,6.546969697,24,0.711,0.85,0.08,40.66708737,46.501,0.775,0.4953,1.441,2.039
88,26,31,19,185.5,12.37,8.24,12.175,2.48809466,8,Red,222.6,77,28,32,16,211.53,13.17,1.044,6.149673203,31,0.5118,0.85,0.061935484,72.36538885,83.166,1.386,0.8691,1.2376,1.768
24,11,32,13,103.5,6.9,4.6,24.475,2.287452685,9,Red,124.2,22,10,30,14,114.28,26.96,1.654,8.092105263,14,0.8238,1,0.12,18.76841612,20.315,0.339,0.235,1.981,2.835
110,17,23,20,193,12.87,8.58,11.05,3.133023599,41,Red,231.6,95,16,25,19,181.99,10.61,0.583,6.189032258,32,0.4099,0.85,0.07125,92.49874579,89.843,1.497,1.0287,2.1614,3.253
29,26,5,6,61.5,4.1,2.73,30.775,2.282970522,22,Red,73.8,27,24,5,7,55.9,33.18,1.081,4.820634921,13,1.5836,1,0.064615385,9.354759108,9.339,0.156,0.1056,1.1554,1.758
43,26,11,20,112.5,7.5,5,23.125,4.716577723,94,Red,135,42,25,13,22,114.12,23.02,1.175,6.284313725,19,0.878,1,0.138947368,22.95403848,21.967,0.366,0.2261,2.1357,3.167
68,28,9,15,125.5,8.37,5.58,21.175,3.077317203,20,Red,150.6,63,32,9,15,123.73,19.28,1.208,5.21092437,24,0.8621,1,0.075,29.1219978,33.364,0.556,0.3863,1.1654,1.704
108,16,8,18,164,10.93,7.29,15.4,4.58476107,45,Red,196.8,119,14,8,17,182.59,13.66,0.82,5.396835443,31,0.5934,0.85,0.065806452,62.34618433,66.232,1.104,0.7526,1.7332,2.696
101,26,8,14,154,10.27,6.84,16.9,0.705594243,10,Red,184.8,97,26,9,13,135.52,16.11,1.835,5.091724138,30,0.7348,1,0.052,42.71443604,42.06,0.701,0.502,1.4527,2.066
141,31,36,6,222.5,14.83,9.89,6.625,0.689147502,25,Red,267,132,28,32,6,206.33,5.9,0.482,5.395959596,42,0.2564,0.85,0.017142857,193.2127338,164.933,2.749,1.8582,2.2598,3.3
120,25,28,5,184.5,12.3,8.2,12.325,2.402394502,53,Red,221.4,122,29,28,5,198.44,14.17,1.584,5.267391304,35,0.6279,0.85,0.017142857,67.17921355,67.592,1.127,0.7275,1.8484,2.619
137,23,44,5,224.5,14.97,9.98,6.325,2.554843667,42,Red,269.4,122,20,45,5,197.22,5.47,1.486,5.9375,39,0.219,0.85,0.015384615,211.0098455,241.644,4.027,2.634,3.7359,5.277
124,11,30,7,188.5,12.57,8.38,11.725,4.540334991,48,Red,226.2,135,11,26,7,178.36,11.52,1.76,5.57150838,34,0.4869,0.85,0.024705882,83.93709857,84.518,1.409,0.8904,2.0138,2.968
145,25,49,7,245,16.33,10.89,5,4.569580142,69,Red,294,126,27,48,6,236.71,4.93,0.365,5.872463768,43,0.1992,0.65,0.016744186,332.4793654,300.803,5.013,3.4615,3.8329,5.539
122,37,23,8,191,12.73,8.49,11.35,1.02750432,19,Red,229.2,140,39,25,9,198.02,10.67,0.652,5.085446009,38,0.4871,0.85,0.028421053,92.46010151,79.204,1.32,0.9093,2.0464,2.984
136,30,20,9,199,13.27,8.84,10.15,2.169754487,62,Red,238.8,147,29,22,8,178.59,10.37,1.597,5.105339806,39,0.4717,0.85,0.024615385,98.89181454,94.581,1.576,1.0006,2.1765,3.39
145,18,40,9,232,15.47,10.31,5.2,0.143938138,46,Red,278.4,132,17,35,10,257.1,4.65,0.3,5.822680412,41,0.1895,0.65,0.029268293,333.1890207,374.994,6.25,3.9389,4.2575,6.128
138,34,28,5,207,13.8,9.2,8.95,1.273145598,156,Green,248.4,118,33,25,6,203.74,9.71,0.357,5.150549451,40,0.4386,0.85,0.018,107.6682593,123.707,2.062,1.2815,1.6774,2.601
123,10,29,8,187.5,12.5,8.33,11.875,0.843531146,164,Orange,225,135,9,27,8,210.96,11.28,0.805,5.679888268,34,0.469,0.85,0.028235294,86.12108178,97.628,1.627,1.1563,1.515,2.32
105,15,21,9,162,10.8,7.2,15.7,4.993493821,29,Red,194.4,112,14,23,10,160.44,16.13,1.077,5.674213836,29,0.6713,0.85,0.04137931,51.94162832,55.517,0.925,0.5905,1.5819,2.323
75,22,20,11,138,9.2,6.13,19.3,1.490956471,37,Red,165.6,80,22,18,11,128.69,20.55,1.637,5.569465649,25,0.8689,1,0.0528,30.46181059,30.993,0.517,0.3358,1.2049,1.817
90,12,10,13,137,9.13,6.09,19.45,3.589532119,159,Green,164.4,97,11,11,14,122.28,21.72,0.926,5.603759398,25,0.9136,1,0.0672,28.3574732,29.129,0.485,0.3123,1.179,1.757
102,22,20,16,175,11.67,7.78,13.75,0.903515449,82,Red,210,89,21,18,15,148.95,15.14,0.757,5.708391608,31,0.6267,1,0.058064516,50.28051848,50.869,0.848,0.5574,1.6408,2.351
61,18,15,27,146.5,9.77,6.51,18.025,4.865038118,130,Green,175.8,58,19,16,25,147.91,18.61,1.125,6.53559322,23,0.686,1,0.130434783,34.78313158,36.944,0.616,0.4245,1.3373,2.104
70,8,14,6,107,7.13,4.76,23.95,2.420444323,0,Red,128.4,62,9,13,6,94.39,23.15,1.188,5.668888889,19,0.9642,1,0.037894737,20.93135004,20.422,0.34,0.2404,2.0482,3.098
80,17,12,34,174.5,11.63,7.76,13.825,1.289845804,31,Red,209.4,89,18,13,34,168.83,13.84,1.176,6.388961039,28,0.5202,0.85,0.145714286,64.64577517,67.927,1.132,0.7164,1.7729,2.781
62,12,14,19,127,8.47,5.64,20.95,3.172672078,124,Green,152.4,64,10,13,19,130.4,22.64,0.929,6.386792453,21,0.8513,1,0.108571429,25.70572602,22.788,0.38,0.2608,1.0677,1.664
96,5,11,13,141,9.4,6.27,18.85,0.306425099,44,Red,169.2,91,4,11,12,131.51,20.99,0.3,5.777118644,25,0.8601,1,0.0576,29.42398763,27.356,0.456,0.2968,1.1928,1.699
102,6,12,13,149,9.93,6.62,17.65,0.826284685,99,Red,178.8,89,7,11,12,134.48,15.55,0.633,5.698319328,27,0.6449,1,0.053333333,42.55328945,46.843,0.781,0.5605,1.4694,2.127
91,14,15,6,132.5,8.83,5.89,20.125,2.098076803,117,Red,159,86,13,16,5,143.42,19.43,1.568,5.386666667,25,0.8451,1,0.024,31.17429795,34.95,0.582,0.3758,1.2029,1.728
95,8,17,13,150.5,10.03,6.69,17.425,2.403713247,61,Red,180.6,90,7,19,11,170.67,18.87,1.075,5.973228346,26,0.7516,0.85,0.050769231,41.82326164,42.313,0.705,0.4331,1.3716,2.139
75,15,12,21,142.5,9.5,6.33,18.625,1.979180274,111,Red,171,80,15,11,19,125.42,18.24,0.871,5.888,25,0.7357,1,0.0912,34.94344235,30.034,0.501,0.3345,1.2338,1.931
53,21,20,10,113.5,7.57,5.04,22.975,3.445057895,69,Red,136.2,55,22,22,9,101.77,21.82,1.447,5.899074074,20,0.8785,1,0.054,24.26707854,27.375,0.456,0.2872,2.1883,3.293
13,1,0,19,51.5,3.43,2.29,32.275,4.20235252,83,Red,61.8,15,1,0,17,58.61,31.42,0.548,8.281818182,7,0.9402,1,0.291428571,8.284652992,8.787,0.146,0.0905,0.9703,1.386
10,0,1,24,59.5,3.97,2.64,31.075,2.910681506,95,Red,71.4,10,0,1,26,51.25,32.03,0.91,9.945945946,7,0.8129,1,0.445714286,9.966859568,9.71,0.162,0.1113,1.1228,1.611
16,2,0,33,83,5.53,3.69,27.55,2.015671879,34,Red,99.6,14,2,0,28,94.89,31.68,1.055,9.15,10,0.867,1,0.336,12.92502537,13.306,0.222,0.1533,1.568,2.44
11,1,0,29,69.5,4.63,3.09,29.575,2.3149838,97,Red,83.4,12,1,0,30,59.17,29.51,0.823,9.669767442,8,0.7683,1,0.45,11.68559925,11.439,0.191,0.1263,1.3118,2.069
18,2,1,13,46.5,3.1,2.07,33.025,0.633266848,128,Green,55.8,19,2,1,12,51.71,30.14,1.04,7.179411765,7,1.0235,1,0.205714286,8.084991276,8.001,0.133,0.0914,0.8828,1.276
15,0,1,11,38.5,2.57,1.71,34.225,4.757580555,126,Green,46.2,15,0,1,12,36.27,30.76,0.925,7.946428571,5,0.9552,1,0.288,6.447505863,7.196,0.12,0.0804,0.7322,1.034
14,1,0,33,80.5,5.37,3.58,27.925,3.441881571,32,Red,96.6,15,1,0,33,91.09,24.09,0.44,9.495918367,9,0.6376,1,0.44,14.99543287,13.471,0.225,0.1528,1.5237,2.239
17,2,0,22,62,4.13,2.76,30.7,0.534237224,76,Red,74.4,17,2,0,21,58.6,31.24,1.073,8.3025,8,0.9329,1,0.315,9.963410012,8.779,0.146,0.0991,1.1635,1.647
12,2,1,17,48.5,3.23,2.16,32.725,4.546729498,42,Red,58.2,12,2,1,17,50.75,33.16,0.469,8.51875,6,0.9678,1,0.34,7.008628022,5.963,0.099,0.068,0.9048,1.411
18,0,0,29,76,5.07,3.38,28.6,0.813480251,110,Red,91.2,18,0,0,28,66.42,26.07,1.066,9.065217391,9,0.7195,1,0.373333333,13.94801992,13.17,0.22,0.1393,1.4356,2.151
16,1,0,14,44.5,2.97,1.98,33.325,1.921642413,133,Green,53.4,14,1,0,14,41.06,35.28,1.55,8.027586207,6,1.0855,1,0.28,7.357406725,6.579,0.11,0.0704,0.8342,1.273
20,0,0,14,48,3.2,2.13,32.8,3.658296713,158,Green,57.6,18,0,0,12,51.94,35.17,0.888,7.5,7,1.1494,1,0.205714286,7.183848269,6.58,0.11,0.0724,0.8954,1.329
20,1,1,30,82,5.47,3.64,27.7,3.983937909,107,Red,98.4,17,1,1,34,82.71,25.7,0.531,9.383018868,9,0.6875,1,0.453333333,14.07524242,12.011,0.2,0.1323,1.5354,2.26
15,0,1,23,62.5,4.17,2.78,30.625,4.395438293,14,Red,75,16,0,1,22,70.52,29.19,0.949,8.897435897,8,0.8193,1,0.33,11.04343305,10.14,0.169,0.1176,1.1826,1.715
16,0,1,26,69.5,4.63,3.09,29.575,0.69578162,117,Red,83.4,15,0,1,25,68.01,33.93,0.667,9.231707317,8,0.9211,1,0.375,9.727267615,9.239,0.154,0.1005,1.2963,2.008
18,4,0,11,42,2.8,1.87,33.7,3.3971656,162,Orange,50.4,18,5,0,12,46.66,32.43,1.238,6.685714286,7,1.172,1,0.205714286,7.416410531,6.374,0.106,0.067,0.7882,1.21
17,3,1,36,92,6.13,4.09,26.2,0.129993175,93,Red,110.4,19,3,1,35,90.59,28.25,0.941,8.998275862,11,0.7849,1,0.381818182,15.33734233,15.834,0.264,0.1689,1.7373,2.562
14,4,1,10,37.5,2.5,1.67,34.375,3.597832331,148,Green,45,13,4,1,11,42.89,33.89,1.684,7.196551724,5,1.1484,1,0.264,6.301883664,6.432,0.107,0.0682,0.7089,1.041
18,2,1,25,70.5,4.7,3.13,29.425,4.891507436,73,Red,84.6,18,2,1,25,80.23,32.01,1.465,8.6,9,0.9263,1,0.333333333,11.51440804,10.122,0.169,0.1166,1.322,1.864
12,2,0,19,51,3.4,2.27,32.35,0.172009868,88,Red,61.2,13,2,0,20,48.39,34.96,0.939,8.631428571,6,1.0083,1,0.4,7.289609938,7.497,0.125,0.0829,0.9577,1.361
11,4,0,30,73,4.87,3.24,29.05,4.575919877,129,Green,87.6,10,4,0,26,81.45,30.51,1.286,9.105,9,0.8387,1,0.346666667,12.36355972,14.213,0.237,0.1632,1.3939,2.122
19,1,1,36,93,6.2,4.13,26.05,4.180572668,106,Red,111.6,17,1,1,40,102.7,28.82,0.843,9.649152542,10,0.7518,1,0.48,14.62440995,16.574,0.276,0.1817,1.761,2.646
10,4,0,36,84,5.6,3.73,27.4,4.127428529,39,Red,100.8,9,4,0,39,76.71,31.01,1.014,9.917307692,9,0.789,1,0.52,12.94084411,11.01,0.184,0.13,1.57,2.337
20,1,1,32,86,5.73,3.82,27.1,3.402413508,125,Green,103.2,18,1,1,29,89.21,27.75,0.855,9.016326531,10,0.7696,1,0.348,14.19676299,15.455,0.258,0.185,1.639,2.555
15,5,1,40,99,6.6,4.4,25.15,0.760662769,115,Red,118.8,17,5,1,36,86.31,23.17,1.307,8.957627119,12,0.6463,1,0.36,20.23422884,19.346,0.322,0.2208,1.8925,2.84
104,6,5,1,116.5,7.77,5.18,22.525,0.8210303,87,Red,139.8,114,6,5,1,128.27,21.84,1.573,4.688888889,25,1.0664,1,0.0048,25.02116084,21.746,0.362,0.2557,0.9943,1.471
109,25,3,8,142,9.47,6.31,18.7,2.852678921,158,Green,170.4,113,25,3,9,128.14,20.15,1.319,4.63,30,0.9941,1,0.036,31.5330505,29.603,0.493,0.3293,1.2264,1.765
82,23,8,20,145.5,9.7,6.47,18.175,4.52365886,20,Red,174.6,91,26,8,19,126.77,19,1.369,5.363194444,27,0.8293,1,0.084444444,34.01102313,32.192,0.537,0.3826,1.2957,2.018
81,25,1,18,131,8.73,5.82,20.35,0.572808822,25,Red,157.2,88,24,1,18,127.08,18.38,1.369,5.085496183,26,0.8391,1,0.083076923,32.43765671,32.664,0.544,0.3822,1.1979,1.813
95,16,10,1,120,8,5.33,22,0.811328393,58,Red,144,86,18,9,1,122.77,19.04,1.221,4.652631579,25,0.9356,1,0.0048,27.94662086,29.297,0.488,0.3511,1.0979,1.566
91,24,7,6,125.5,8.37,5.58,21.175,1.486508087,30,Red,150.6,102,22,8,6,138.86,22.34,0.544,4.772463768,26,1.0749,1,0.027692308,24.75998889,26.61,0.444,0.3015,1.0933,1.669
81,30,10,0,111,7.4,4.93,23.35,0.128425407,105,Red,133.2,82,32,9,0,126.79,21.61,1.68,4.273170732,25,1.1382,1,0,23.64450536,21.842,0.364,0.2535,0.955,1.42
125,13,26,2,174.5,11.63,7.76,13.825,2.013599981,121,Green,209.4,137,15,23,2,171.33,13.82,1.722,5.200564972,34,0.6193,0.85,0.007058824,66.31811098,62.772,1.046,0.7023,1.761,2.74
125,39,49,3,224,14.93,9.96,6.4,2.829001424,81,Red,268.8,140,34,48,3,194.46,6.87,0.906,5.578666667,41,0.2902,0.85,0.008780488,167.1287506,157.521,2.625,1.6828,2.9244,4.607
125,34,37,1,199.5,13.3,8.87,10.075,1.498430796,135,Green,239.4,118,29,35,1,214.41,10.26,0.852,5.356284153,38,0.4486,0.85,0.003157895,100.5116054,96.373,1.606,1.0459,1.4371,2.182
125,19,25,4,180,12,8,13,4.222788684,1,Red,216,110,19,22,4,183.52,11.37,1.245,5.28516129,34,0.5027,0.85,0.014117647,80.82943792,92.946,1.549,1.0978,2.1331,3.289
125,15,49,0,206,13.73,9.16,9.1,2.144987876,20,Red,247.2,115,13,46,0,202.78,8.24,1.22,6.016666667,35,0.3263,0.85,0,127.4120643,138.036,2.301,1.4248,1.8116,2.573
